NOMBRE,CATEGORIA,CLASE DE ACTIVIDAD
RESTAURANTE PIZZERIA RAYUELA,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
"RESTAURANTES CON SERVICIO DE PREPARACIÓN DE PIZZAS, HAMBURGUESAS, HOT DOGS Y POLLOS ROSTIZADOS PARA LLEVAR",COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
"RESTAURANTES CON SERVICIO DE PREPARACIÓN DE PIZZAS, HAMBURGUESAS, HOT DOGS Y POLLOS ROSTIZADOS PARA LLEVAR",COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
STAR PIZAS,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
STAR PIZZA,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
CARIBE BURGER,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
CONO PIZZA ITALIANA,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
EL PENDULO PIZZERIA,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
KREIZY PIZZA,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
KREIZY PIZZA Y TACOS AL PASTOR,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
LITTLE CAESARS SUC. BARRIO MAYA,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
LITTLE CAESARS SUC. PLAYA,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
LITTLE CAESARS SUCURSAL TALLERES,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
PANCHOS PIZZA,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
PANCHOS PIZZA,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
PAPA JOHNS PIZZA,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
PAPA JOHNS VENTA DE PIZZAS,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
PIZZERIA VIC VIC,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
PIZZERIA WALLIS,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
TOPIS PIZZA,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
TORINOS PIXA,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
VENTA DE TAQUITOS SIN NOMBRE,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
BENEDETTIS,COMIDA RAPIDA,Restaurantes de autoservicio
BENEDETTIS PIZZA,COMIDA RAPIDA,Restaurantes de autoservicio
BLATT SALAT HAUS,COMIDA RAPIDA,Restaurantes de autoservicio
LA CASA NUESTRA PIZZERIA,COMIDA RAPIDA,Servicios de preparación de alimentos en unidades móviles
KENTUCKY FRIED CHICKEN,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
KENTUCKY FRIED CHICKEN,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
1 POLLO ASADO,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
AB CHICKEN,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
AB CHICKEN,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
AB CHICKEN,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
AB CHIKEN ROSTICERIA,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
AB CHIQUEN,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
ALMACEN POLLO FELIZ,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
ASADERO DE POLLO SIN NOMBRE,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
ASADERO EL POLLITO EXPRESS,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
ASADERO EL POLLO,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
ASADOS LOS POLLONES,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
ASADOS Y ROSTIZADOS MI PUEBLO,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
LOS ORIGINALES POLLOS A LA LEÑA,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
LOS POLLOS ASADOS DEL CEMENTERIO,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
CHIKEN 2GO,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
CHIKEN CHUUY ROSTICERIA,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
CHIKEN POLLO,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
CORRAL DEL POLLO,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
COUNTRY CHIKEN,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
DON POLLO,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
EL POLLOTON,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
EL REY DEL POLLO,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
EL REY DEL POLLO,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
POLLO LOCO CHON,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
POLLO QRO,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
POLLO RONQPOLLOS ASADOS AL CARBON,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
POLLOS AL CARBON Y BIRRIERIA GUADALAJARA,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
POLLOS ALA LEÑA MI LUPITA,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
POLLOS ASADOA AL CARBON AL ESTILO GUERRERO,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
RESTAURANTE FAMILIAR LOS IDOLOS,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
RESTAURANTE LOS DOGOS,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
RESTAURANTE LOS POLLOS,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
RESTAURANTE PARRILLA NORTEÑA,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
RESTAURANTE POLLOS RIO,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
ROSTICERIA BARRÓN,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
ROSTICERIA BECERRIL,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
ROSTICERIA BETZAHI,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
ROSTICERIA BRONCO POLLO,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
ROSTICERIA BUON POLLO,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
ROSTICERIA CARMEN,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
ROSTICERIA CHARLY,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
SUPER POLLO,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
ASADERO DE POLLO LUCERO,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
ASADERO DE POLLO PEPE,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
ASADERO EDIER,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
CAMPANELLA PIZZERIA,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
EL PECHUGON,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
EL PECHUGON,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
EL POLLO BANIZADO POLLOS ASADOS,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
EL POLLO ECONOMICO,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
KFC CUN L PORTILLO F,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
KFC CUN LABNA SB,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
KITCHEN POLLO LAURITA,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
KOZUMEL FRED CHICKEN,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
POLLERIA KII KII BAAH,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
POLLERIA LA CHINITA,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
POLLERIA LA ECONOMICA,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
POLLERIA LA FAMILIA,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
POLLERIA LA FOGATA,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
POLLERIA LA LUPITA,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
POLLOS  ASADOS,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
POLLOS  ASADOS SIN NOMBRE,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
POLLOS  EL COYOTE,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
POLLOS A LA LEÑA,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
POLLOS A LA LEÑA EL POLLON RANCHERO,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
BODEGA DE LA VENTA DE POLLOS ASADOS,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
BODEGA DE MOTOS DE DANNYS,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
CRUJI POLLO,COMIDA RAPIDA,Restaurantes de autoservicio
KENTUKY FRIED CHICKEN,COMIDA RAPIDA,Restaurantes de autoservicio
KFC 1237 JUAREZ,COMIDA RAPIDA,Restaurantes de autoservicio
LA AURORA POLLOS Y CARNES,COMIDA RAPIDA,Restaurantes de autoservicio
POLLERIA COMPA CHIHUAHUA,COMIDA RAPIDA,Restaurantes de autoservicio
AISHI SUSHI Y BAR,COMIDA RAPIDA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
TORTAS ROYALTY,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
LONCHERIA CHEEL,COMIDA RAPIDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
AULA COCINA PRIMARIA JUSTO SIERRA,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
VENTA DE COMIDA Y REFRESCOS RICHARD,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
ABARROTES,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
ABARROTES,FUENTE DE SODAS/TIENDA,Restaurantes con servicio de preparación de tacos y tortas
ABARROTES FER,FUENTE DE SODAS/TIENDA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
ABARROTES LA TIENDITA DE LA UNIDAD,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
ABARROTES LAURITA,FUENTE DE SODAS/TIENDA,Restaurantes con servicio de preparación de tacos y tortas
ABARROTES LONCHERIA Y TAMALES,FUENTE DE SODAS/TIENDA,Servicios de preparación de otros alimentos para consumo inmediato
ABARROTES TORTAS Y TACOS ISA,FUENTE DE SODAS/TIENDA,Restaurantes con servicio de preparación de tacos y tortas
ABARROTES MARY,FUENTE DE SODAS/TIENDA,Restaurantes con servicio de preparación de tacos y tortas
ABARROTES Y GORDITA ELVIRA,FUENTE DE SODAS/TIENDA,Restaurantes con servicio de preparación de antojitos
ABARROTES Y GORDITAS ADRIANA,FUENTE DE SODAS/TIENDA,Restaurantes con servicio de preparación de antojitos
ABARROTES Y JUGOS S ABARROTES Y JUGOS SIN NOMBRE,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
ABARROTES Y LONCHERIA,FUENTE DE SODAS/TIENDA,Restaurantes con servicio de preparación de tacos y tortas
ABARROTES Y LONCHERIA SAN JOSE,FUENTE DE SODAS/TIENDA,Restaurantes con servicio de preparación de tacos y tortas
ABARROTES Y TORTAS,FUENTE DE SODAS/TIENDA,Restaurantes con servicio de preparación de tacos y tortas
ABARROTES Y RESTAURANT CON VENTA DE BEBIDAS ALCOHOLICAS,FUENTE DE SODAS/TIENDA,Restaurantes con servicio de preparación de tacos y tortas
ABEJITAS,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
ACTIVIDAD DENTRO DE LA VIVIENDA,FUENTE DE SODAS/TIENDA,Servicios de preparación de otros alimentos para consumo inmediato
AEROPUERTO GDL LLEGADAS NACIONALES_38576,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
AEROPUERTO PB GUADALAJARA_38165,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
AFFETTO,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
AGUA DE CEBADA,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
AGUA DE CEBADA,FUENTE DE SODAS/TIENDA,Servicios de preparación de otros alimentos para consumo inmediato
AGUA DE COCO LA PALMA,FUENTE DE SODAS/TIENDA,Servicios de preparación de otros alimentos para consumo inmediato
AGUA SALADA,FUENTE DE SODAS/TIENDA,Restaurantes que preparan otro tipo de alimentos para llevar
AGUAS FRESCAS,FUENTE DE SODAS/TIENDA,Servicios de preparación de otros alimentos para consumo inmediato
AGUAS FRESCAS,FUENTE DE SODAS/TIENDA,Servicios de preparación de otros alimentos para consumo inmediato
AGUAS FRESCAS Y HELADOSS SIN NOMBRE,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
AGUAS FRESCAS Y TEJUINO,FUENTE DE SODAS/TIENDA,Servicios de preparación de otros alimentos para consumo inmediato
AGUAS LOS GUEROS,FUENTE DE SODAS/TIENDA,Servicios de preparación de otros alimentos para consumo inmediato
AGUAS Y REGALOS,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
AGUILA FITNESS,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
ALIMENTOS ALDEA,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
ALIMENTOS CORAZON CONTENTO,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
ALIMENTOS JUGOS Y RASPADOS,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
ALIMENTOS Y BEBIDAS SIN NOMBRE,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
AMOR ORGANICO Y NATURAL,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
AMORE AMORE CUPCAKE BOUTIQUE,FUENTE DE SODAS/TIENDA,Servicios de preparación de otros alimentos para consumo inmediato
ANA ROSA LEPE ESPARZA CLUB HERBALIFE,FUENTE DE SODAS/TIENDA,Servicios de preparación de otros alimentos para consumo inmediato
ANGELIQUE,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
ANGY FRESH,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
APAPACHOA,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
ARESE,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
CLUB DE NUTRICION HERBALIFE,FUENTE DE SODAS/TIENDA,Servicios de preparación de otros alimentos para consumo inmediato
CLUB DE NUTRICION HERBALIFE,FUENTE DE SODAS/TIENDA,Servicios de preparación de otros alimentos para consumo inmediato
CLUB DE NUTRICION HERBALIFE,FUENTE DE SODAS/TIENDA,Servicios de preparación de otros alimentos para consumo inmediato
LOS JUGOS,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
LOS JUGOS,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
LOS JUGOS DEL CENTRO,FUENTE DE SODAS/TIENDA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
VENTA DEJUGOS Y LICUADOS,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
VENTA JUGOS Y LICUADOS,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
VENTA JUGOS Y LICUADOS,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
VENTAS DE JUGOS SIN NOMBRE,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
ANTOJITOS JUGOS Y LICUADO MERY,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
LICUADOS SIN NOMBRE,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
LICUADOS Y JUGOS CLUB HERBALIFE,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
LICUADOS Y JUGOS SIN NOMBRE,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
LICUADOS Y MALTEADAS,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
PROCESADORA DE JUGOS Y FRUTAS,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
TIENDA DE JUGOS NATURAL,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
TIENDA DE JUGOS SIN NOMBRE,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
TIENDA DE LICUADOS SUSANA,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
TIENDA DE YOGURT LA GITARRILLA,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
TIENDA ESCOLAR,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
TIENDA ESCOLAR,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
LICUADOS DE COCO,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
LICUADOS EL AMANECER,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
LICUADOS NANDO,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
REFRESQUERIA ESMERALDA,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
REFRESQUERIA GABY,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
REFRESQUERIA GLORIA,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
REFRESQUERIA ISELA,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
SNACK PLANET FUENTE DE SODAS,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
SNACKERIA TIME,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
SNACKS LA PRINCESA,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
TIENDA DE CONSUMO DE ALIMENTOS ESCOLAR,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
TIENDA DE CONSUMO DE DESAYUNO ESCOLAR,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
BODY LOGIC,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
BODY LOGIC,FUENTE DE SODAS/TIENDA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
AGUA PURIFICADA DE LOS MOCHIS,FUENTE DE SODAS/TIENDA,Servicios de preparación de alimentos en unidades móviles
AGUAS DE LOURDES,FUENTE DE SODAS/TIENDA,Servicios de preparación de otros alimentos para consumo inmediato
AGUAS FRANCO,FUENTE DE SODAS/TIENDA,Servicios de preparación de otros alimentos para consumo inmediato
AGUAS FRESCAS MICHOACANA,FUENTE DE SODAS/TIENDA,Servicios de preparación de otros alimentos para consumo inmediato
BEBIDAS EL MANANTIAL,FUENTE DE SODAS/TIENDA,Servicios de preparación de otros alimentos para consumo inmediato
BIOTICA,FUENTE DE SODAS/TIENDA,Servicios de preparación de otros alimentos para consumo inmediato
BOBA JUMP,FUENTE DE SODAS/TIENDA,Servicios de preparación de otros alimentos para consumo inmediato
AGUAS FRESCAS EL AMIGO BALAM,FUENTE DE SODAS/TIENDA,Servicios de preparación de otros alimentos para consumo inmediato
AGUAS NATURALES,FUENTE DE SODAS/TIENDA,Servicios de preparación de otros alimentos para consumo inmediato
BISTRO MART¡,INTERNACIONAL,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
CASER¡O VASCO,INTERNACIONAL,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
100 MONTADITOS,INTERNACIONAL,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
A FEU LENT GRILL AND BIRD RESTAURANT,INTERNACIONAL,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
AHOLA FOOD,INTERNACIONAL,Restaurantes de autoservicio
AJIJIC TANGO,INTERNACIONAL,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
ALBERS RESTAURANT,INTERNACIONAL,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
ALESYBAKING,INTERNACIONAL,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
ALFREDOS CALIFORNIA,INTERNACIONAL,Restaurantes con servicio de preparación de tacos y tortas
ALKATRAZ RESTAURANT BAR,INTERNACIONAL,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
ALTRANDRIA,INTERNACIONAL,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
APPLEBBES REAL CENTER,INTERNACIONAL,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
APPLEBEES BUGAMBILIAS,INTERNACIONAL,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
BAKE AND KITCHEN,INTERNACIONAL,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
CHEZ AROME,INTERNACIONAL,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
