NOMBRE,CATEGORIA,CLASE DE ACTIVIDAD
VENTE DE COMIDA, A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar
VIANDA, A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar
A COMER, A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar
ABANICO, A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar
CASA DE ADRIS, A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar
PRODUCTOS RICO, A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar
ACOMER COMO EN CASA, A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar
AL SABOR, A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar
ALIMENTOS IZEL, A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar
AMORE LUNCH, A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar
COMEDOR EMPALME, A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar
COMEDOR EXPLORACION MINERA DEL DESIERTO, A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar
COMEDOR HORTENCIA, A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar
COMEDOR JEIMY, A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar
COMEDOR LA ULTIMA CHANZA, A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar
SAZON DE REYNA, A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar
SERVICIO DE COMIDA VANESSA, A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar
CON AMOR, A LA CARTA,Servicios de preparación de alimentos en unidades móviles
EL CHIRINGUITO, A LA CARTA,Servicios de preparación de alimentos en unidades móviles
ESTANQUILLO DE COMIDA, A LA CARTA,Servicios de preparación de alimentos en unidades móviles
ESTANQUILLO SABOR RODANTE, A LA CARTA,Servicios de preparación de alimentos en unidades móviles
ESTANQULLO DE COMIDAS, A LA CARTA,Servicios de preparación de alimentos en unidades móviles
MARECITO, A LA CARTA,Servicios de preparación de alimentos en unidades móviles
PAPA FRANK, A LA CARTA,Servicios de preparación de alimentos en unidades móviles
PERLAS NEGRAS, A LA CARTA,Servicios de preparación de alimentos en unidades móviles
PREPARACION DE COMIDA SIN NOMBRE, A LA CARTA,Servicios de preparación de alimentos en unidades móviles
PUESTO PATY, A LA CARTA,Servicios de preparación de alimentos en unidades móviles
RESISTENCIA FOOD TRUCK, A LA CARTA,Servicios de preparación de alimentos en unidades móviles
TREINTA Y TRES, A LA CARTA,Servicios de preparación de alimentos en unidades móviles
KAAB, A LA CARTA,Servicios de preparación de alimentos en unidades móviles
RESTAURANT MRS HABANERO, A LA CARTA,Servicios de preparación de alimentos en unidades móviles
TULUMSKI, A LA CARTA,Servicios de preparación de alimentos en unidades móviles
BEIS BOX, A LA CARTA,Servicios de preparación de alimentos en unidades móviles
BUNQUER, A LA CARTA,Servicios de preparación de alimentos en unidades móviles
URBAN FOOD, A LA CARTA,Servicios de preparación de alimentos en unidades móviles
ASADERO DEL RING,MEXICANA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
ASADERO EL SABOR DE LA SIERRA,MEXICANA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
