NOMBRE,CATEGORIA,CLASE DE ACTIVIDAD,ID ACT
LA COMPAÑIA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA CONTINENTAL,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA GRAN MURALLA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA GRAN MURALLA RESTAURANT,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA GUAPIRA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA GUISADERIA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA HUMADERA GUZMAN,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA LLENADERA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
PAN Y TOMATE,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANT EL MEZQUITE,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANT EL PILANCON,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANT EL QUINCHO,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANT EL REDIL,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANT LA GALERÍA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANT LA GLORIA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANT LA HERRADURA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANTE ASIAS,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANTE BACHA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANTE BALKAN,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANTE BAR BENYS,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANTE BAR BICENTENARIO,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANTE BAR TITANIO,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANTE BAR TORRES 10,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANTE DE GOURMAND,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANTE DE TEO,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANTE MARIETA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANTE MARY,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANTE MESTIZAJE,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANTE OPOTE,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANTE PEGUEROS,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANTE QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR SIN NOMBRE,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANTE QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR SIN NOMBRE,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANTE ROBERTO S,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANTE-BAR CILANTRO Y PEREJIL,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANTES DE COMIDA PARA LLEVAR,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANTEV BAR CAMPOAMOR,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
ROOTS RESTAURANT & BAR,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
SABOR A MI,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
SABOR CASERO,ANTOJITOS,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
SABOR FAMILIAR,ANTOJITOS,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
CASA DE NAVA RESTAURANTE,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
CLUB DE PLAYA ZAMA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
CLUB TARRAYA NAUTICO,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
COCINA,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
EL MONCHIS,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
EL MORRITO,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
EL MUELLECITO RESTAURANTE,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
EL MUÑE,A LA CARTA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
EL ORIGINAL EJECUTIVO PIANO BAR,BAR/ALITAS,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA SIMPLE VIDA,A LA CARTA,Restaurantes de autoservicio,722516
LA TERRAZA DEL COLIBRI,A LA CARTA,Restaurantes de autoservicio,722516
LA VAKA,A LA CARTA,Restaurantes de autoservicio,722516
LAS DRUSAS,A LA CARTA,Restaurantes de autoservicio,722516
LAS MICHOACANITAS,A LA CARTA,Restaurantes de autoservicio,722516
MILAGROSO,A LA CARTA,Restaurantes de autoservicio,722516
RESTAURANTE LA CHULADA DEL SABOR,A LA CARTA,Restaurantes de autoservicio,722516
RESTAURANTE MATARROLLO,A LA CARTA,Restaurantes de autoservicio,722516
REY JR,A LA CARTA,Restaurantes de autoservicio,722516
ROBE S,A LA CARTA,Restaurantes de autoservicio,722516
0422 LAS PALMAS CANCÚN 75,A LA CARTA,Restaurantes de autoservicio,722516
AIR MARGARITA VILLE,A LA CARTA,Restaurantes de autoservicio,722516
EL HANGAR DEL CHAMP,A LA CARTA,Restaurantes de autoservicio,722516
EL MANJAR LIBANES,A LA CARTA,Restaurantes de autoservicio,722516
EL PACHUCO DE ORO,A LA CARTA,Restaurantes de autoservicio,722516
EL RECREO,A LA CARTA,Restaurantes de autoservicio,722516
EL TOCHO MOROCHO,A LA CARTA,Restaurantes de autoservicio,722516
ENCOCINATE,A LA CARTA,Restaurantes de autoservicio,722516
FRANCOS,A LA CARTA,Restaurantes de autoservicio,722516
VIVCO ALIMENTOS,A LA CARTA,Restaurantes de autoservicio,722516
VIVCO ALIMENTOS S DE RL DE CV,A LA CARTA,Restaurantes de autoservicio,722516
VOLCANO,A LA CARTA,Restaurantes de autoservicio,722516
BEISBOX,A LA CARTA,Restaurantes de autoservicio,722516
LOUIE GUMBOS,A LA CARTA,Restaurantes de autoservicio,722516
RESTAURANTE LAS PALMAS,A LA CARTA,Restaurantes de autoservicio,722516
RESTAURANTE MIKES,A LA CARTA,Restaurantes de autoservicio,722516
RESTAURANTES DE AUTOSERVICIO,A LA CARTA,Restaurantes de autoservicio,722516
RESTAURANTES DE AUTOSERVICIO,A LA CARTA,Restaurantes de autoservicio,722516
RICCO,A LA CARTA,Restaurantes de autoservicio,722516
VENTE DE COMIDA,A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar,722518
VIANDA,A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar,722518
A COMER,A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar,722518
ABANICO,A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar,722518
CASA DE ADRIS,A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar,722518
PRODUCTOS RICO,A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar,722518
ACOMER COMO EN CASA,ANTOJITOS,Restaurantes que preparan otro tipo de alimentos para llevar,722518
AL SABOR,A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar,722518
ALIMENTOS IZEL,A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar,722518
AMORE LUNCH,A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar,722518
COMEDOR EMPALME,A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar,722518
COMEDOR EXPLORACION MINERA DEL DESIERTO,A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar,722518
COMEDOR HORTENCIA,A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar,722518
COMEDOR JEIMY,A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar,722518
COMEDOR LA ULTIMA CHANZA,A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar,722518
SAZON DE REYNA,A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar,722518
SERVICIO DE COMIDA VANESSA,A LA CARTA,Restaurantes que preparan otro tipo de alimentos para llevar,722518
CON AMOR,A LA CARTA,Servicios de preparación de alimentos en unidades móviles,722330
EL CHIRINGUITO,A LA CARTA,Servicios de preparación de alimentos en unidades móviles,722330
ESTANQUILLO DE COMIDA,A LA CARTA,Servicios de preparación de alimentos en unidades móviles,722330
ESTANQUILLO SABOR RODANTE,A LA CARTA,Servicios de preparación de alimentos en unidades móviles,722330
ESTANQULLO DE COMIDAS,A LA CARTA,Servicios de preparación de alimentos en unidades móviles,722330
MARECITO,A LA CARTA,Servicios de preparación de alimentos en unidades móviles,722330
PAPA FRANK,SNACKS/TIENDA/OTROS,Servicios de preparación de alimentos en unidades móviles,722330
PERLAS NEGRAS,A LA CARTA,Servicios de preparación de alimentos en unidades móviles,722330
PREPARACION DE COMIDA SIN NOMBRE,A LA CARTA,Servicios de preparación de alimentos en unidades móviles,722330
PUESTO PATY,A LA CARTA,Servicios de preparación de alimentos en unidades móviles,722330
RESISTENCIA FOOD TRUCK,SNACKS/TIENDA/OTROS,Servicios de preparación de alimentos en unidades móviles,722330
TREINTA Y TRES,A LA CARTA,Servicios de preparación de alimentos en unidades móviles,722330
KAAB,A LA CARTA,Servicios de preparación de alimentos en unidades móviles,722330
RESTAURANT MRS HABANERO,A LA CARTA,Servicios de preparación de alimentos en unidades móviles,722330
TULUMSKI,A LA CARTA,Servicios de preparación de alimentos en unidades móviles,722330
BEIS BOX,A LA CARTA,Servicios de preparación de alimentos en unidades móviles,722330
BUNQUER,A LA CARTA,Servicios de preparación de alimentos en unidades móviles,722330
URBAN FOOD,SNACKS/TIENDA/OTROS,Servicios de preparación de alimentos en unidades móviles,722330
ASADERO DEL RING,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
ASADERO EL SABOR DE LA SIERRA,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
ASADERO LO QUE QUIERAS,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
ASADERO LUPILLO,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
ASADOR SONORA,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
ASADOR TLAQUEPAQUE,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
ARRACHERAS AL CARBON LUIGIS,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
EL ASADOR TX,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANTE PARAISO CARNIVORO,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
EL ASADERO,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
EL ARGENTINO,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
RESTAURANTE ARGENTINO CHE PIBE,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
ASADOR LA VACA ARGENTINA,CORTES DE CARNE,Restaurantes de autoservicio,722516
ASADOR LA VACA ARGENTINA,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
ASADOR PROVIDENCIA RESTAURANT,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
ARGENTINA EXPRESS,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
ARGENTINA EXPRESS,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
FONDA ARGENTINA,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA VID ARGENTINA,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
COMIDA ARGENTINA,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
MESA ARGENTINA,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA VEREDA ARGENTINA,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA VIDA ARGENTINA,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
"CANTINA ARGENTINA ""LA GAUCHIITA""",CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA VID ARGENTINA,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA PARRILLA ARGENTINA,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
ELDIEZ.10. PARRILLA ARGENTINA,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
BARRIO BOCA PARRILLA ARGENTINA,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA ARGENTINA TEC,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA ARGENTINA,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
"EL DIEZ, PARRILLA ARGENTINA",CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
PARILLA EL BOLLA,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
EL DIEZ,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
EL DIEZ,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
DELICIAS ARGENTINAS,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
DELICIAS ARGENTINAS,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA VID ARGENTINA,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA VID ARGENTINA,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
PARRILLA ARGENTINA,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
LA VID ARGENTINA,CORTES DE CARNE,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,722511
